req_number,requirement,domain,section,section_title,applicability,start_date,decision,question_type,mandatory,scored
56,Plans for managing a broad range of emergencies are integrated within the business continuity plan.,RISK,08,Contingency Planning,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
57,Personnel who are likely to be impacted are notified if there is a heightened risk of an emergency.,RISK,08,Contingency Planning,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
58,"The originator remains responsible for controlling the sanitisation, reclassification or declassification of official and security classified information, and approves any changes to the information’s security classification.",INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
60,The security classification is set at the lowest reasonable level.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
61,"Security classified information is clearly marked with the applicable security classification, and when relevant, security caveat, by using text-based markings, unless impractical for operational reasons.",INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
62,The minimum protections and handling requirements are applied to protect OFFICIAL and security classified information.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
63,The Australian Government Security Caveat Standard and special handling requirements imposed by the controlling authority are applied to protect security caveated information.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
64,Security caveats are clearly marked as text and only appear in conjunction with a security classification.,INFO,09,Classifications and Caveats All entities 1/07/2025 Modify Performance Mandatory Scored,,,,,,
65,Accountable material has page and reference numbering.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
66,Accountable material is handled in accordance with any special handling requirements imposed by the originator and security caveat owner detailed in the Australian Government Security Caveat Standard.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
67,"The Australian Government Email Protective Marking Standard is applied to protect OFFICIAL and security classified information exchanged by email in and between Australian Government entities, including other authorised parties.",INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
69,Apply the Australian Government Recordkeeping Metadata Standard’s ‘Rights’ property where the entity wishes to categorise information content by the type of restrictions on access.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
70,Security classified discussions and dissemination of security classified information are only conducted in approved locations.,INFO,09,Classifications and Caveats,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
71,"Entity implements operational controls for its information holdings that are proportional to their value, importance and sensitivity.",INFO,10,Information Holdings,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
72,An auditable register is maintained for TOP SECRET information and accountable material.,INFO,10,Information Holdings,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
74,Security classified information is appropriately destroyed in accordance with the Minimum Protections and Handling Requirements when it has passed the minimum retention requirements or reaches authorised destruction dates.,INFO,11,Information Disposal,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
76,"The Memorandum of Understanding between the Commonwealth, States and Territories is applied when sharing information with state and territory government agencies.",INFO,12,Information Sharing,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
78,"Provisions are met concerning the security of people, information and resources contained in international agreements and arrangements to which Australia is a party.",INFO,12,Information Sharing,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
79,"Australian Government security classified information or resources shared with a foreign entity is protected by an explicit legislative provision, international agreement or international arrangement.",INFO,12,Information Sharing,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
82,"Where an international agreement or international arrangement is in place, security classified foreign entity information or resources are safeguarded in accordance with the provisions set out in the agreement or arrangement.",INFO,12,Information Sharing,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
83,"Australian Government security classified information or resources shared with a foreign non-government stakeholder is protected by an explicit legislative provision, international agreement or international arrangement.",INFO,12,Information Sharing,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
84,The Australian Signals Directorate’s Information Security Manual cyber security principles are applied during all stages of the lifecycle of each system,TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
85,The Australian Signals Directorate’s Information Security Manual controls and cyber security guidelines are applied on a risk-based approach.,TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
86,"The Authorising Officer authorises each technology system to operate based on the acceptance of the residual security risks associated with its operation before that system processes, stores or communicates government information or data.",TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
87,Decisions to authorise (or reauthorise) a new technology system or make changes to an existing technology system are based on the Information Security Manual's risk-based approach to cyber security.,TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
88,"The technology system is authorised to the highest security classification of the information and data it will process, store or communicate.",TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
90,"Each technology system's suitability to be authorised to operate is reassessed when it undergoes significant functionality or architectural change, or where the system's security environment has changed considerably.",TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
93,The Australian Signals Directorate’s temporary mitigations for legacy IT are applied to manage legacy information technology that cannot yet be replaced.,TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Yes/No/NA,Mandatory,Scored
94,"Technology assets and their components, classified as SECRET or below are stored in the appropriate Security Zone based on their aggregated security classification or business impact level.",TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
96,Outsourced facilities that house technology assets and their components with a catastrophic business impact level are certified by ASIO- T4 physical security and accredited by ASD before they are used operationally.,TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
97,Technology assets are disposed of securely in accordance with the Information Security Manual.,TECH,13,Technology Lifecycle Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
212,Approved post-quantum cryptographic encryption algorithms are used for newly procured cryptographic equipment and software in accordance with the Information Security Manual’s guidelines for cryptography.,TECH,13,Technology Lifecycle Management All entities 1/07/2025 New Performance Mandatory Scored,,,,,,
98,"A cyber security strategy and uplift plan is developed, implemented and maintained to manage the entity's cyber security risks in accordance with the Information Security Manual and the Guiding Principles to Embed a Zero Trust Culture.",TECH,14,Cyber Security Strategies All entities 1/07/2025 Modify Performance Mandatory Scored,,,,,,
213,The Chief Information Security Officer reports on the entity’s cyber security risk at each meeting of the Audit Committee and biannually on the progress of the cyber security strategy and uplift plan.,TECH,14,Cyber Security Strategies All entities 1/07/2025 New Yes/No Mandatory Scored,,,,,,
99,Patch applications mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
100,Patch operating systems mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
101,Multi-factor authentication mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
102,Restrict administrative privileges mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
103,Application control mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
104,Restrict Microsoft Office macros mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
105,User application hardening mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
106,Regular back-ups mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
107,"The remaining mitigation strategies from the Strategies to Mitigate Cyber Security Incidents are considered and, where required, implemented to achieve an acceptable level of residual risk for their entity.",TECH,14,Cyber Security Strategies,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
108,A Protective Domain Name System service or other security mechanisms is used to prevent connections to and from known malicious endpoints.,TECH,15,Cyber Security Programs,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
109,Cloud Service Providers that have completed an IRAP assessment against the latest version of ASD’s Information Security Manual within the previous 24 months are used.,TECH,15,Cyber Security Programs,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
110,"Entities consider IRAP assessment recommendations and findings, and implement on a risk-based approach.",TECH,15,Cyber Security Programs,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
112,The Data Centre Facilities Supplies Panel is used when procuring certified data centre space and services.,TECH,15,Cyber Security Programs,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
113,"Internet-connected technology systems, and the data they process, store or communicate, are protected by a gateway in accordance with the Information Security Manual and the Gateways Policy.",TECH,15,Cyber Security Programs,All entities,31/10/2024,Retire,Performance,Mandatory,Scored
214,"Digital Infrastructure that processes, stores or communicates Australian Government security classified information is protected by a Gateway or Security Service Edge in accordance with the Australian Government Gateway Security Standard.",TECH,15,Cyber Security Programs All entities 1/07/2025 New Performance Mandatory Scored,,,,,,
114,Gateways or Secure Service Edges that have completed an IRAP assessment (or ASD assessment for TOP SECRET gateways) against the latest version of ASD’s Information Security Manual within the previous 24 months are used.,TECH,15,Cyber Security Programs All entities 1/07/2025 Modify Performance Mandatory Scored,,,,,,
115,"A vulnerability disclosure program and supporting processes and procedures are established to receive, verify, resolve and report on vulnerabilities disclosed by both internal and external sources.",TECH,15,Cyber Security Programs,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
215,Participate in the Australian Signals Directorate’s Cyber Security Partnership Program and notify ASD in the event of a change in the entity's risk profile.,TECH,15,Cyber Security Programs All entities 1/07/2025 New Yes/No Mandatory Scored,,,,,,
216,Connect to the Australian Signals Directorate’s Cyber Threat Intelligence Sharing platform.,TECH,15,Cyber Security Programs All entities 1/07/2025 New Yes/No Mandatory Scored,,,,,,
217,Declared Systems of Government Significance are protected in accordance with the Australian Government Systems of Government Significance Standard.,TECH,15,Cyber Security Programs SOGS 1/07/2025 New Performance Mandatory Scored,,,,,,
116,The eligibility and suitability of personnel who have access to Australian Government people and resources is ensured.,PER,16,Pre-Employment Eligibility,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
119,"The pre-employment screening eligibility check is conducted for all personnel, to confirm their eligibility to work in Australia and for the Australian Government.",PER,16,Pre-Employment Eligibility,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
122,A risk assessment determines whether a person is granted temporary access to security classified information or resources.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
123,"Temporary access to security classified information, resources and activities is supervised.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
126,"Temporary access to classified caveated information, resources or activities is not granted, other than in exceptional circumstances, and only with the approval of the caveat controlling authority.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
127,"Prior to granting temporary access, the entity obtains an undertaking from the person to protect the security classified information, resources and activities they will access.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
128,"Prior to granting temporary access, the entity obtains agreement from any other entity (or third party) whose security classified information, resources and activities will be accessed by the person during the temporary access period.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
129,Access to official information is facilitated for entity personnel and other relevant stakeholders.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
130,"Appropriate access to official information is enabled, including controlling access (including remote access) to supporting technology systems, networks, infrastructure, devices and applications.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
131,Access to security classified information or resources is only given to entity personnel with a need-to-know that information.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
132,Personnel requiring ongoing access to security classified information or resources are security cleared to the appropriate level.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
133,Personnel requiring access to caveated information meet any clearance and suitability requirements imposed by the originator and caveat controlling authority.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
134,"A unique user identification, authentication and authorisation practice is implemented on each occasion where system access is granted, to manage access to systems holding security classified information.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
135,A security risk assessment of the proposed location and work environment informs decisions by the Chief Security Officer to allow personnel to work in another government entity’s facilities in Australia.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
136,An agreement is in place to manage the security risks associated with personnel working in another government entity’s facilities in Australia.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
137,"Approval for remote access to TOP SECRET information, data or systems in international locations outside of facilities meeting PSPF requirements is only granted if approved by the Australian Signals Directorate.",PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
138,A security risk assessment of the proposed location and work environment informs decisions to allow personnel to work remotely in international locations.,PER,17,Access to Resources,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
141,All vetting personnel attain and maintain the required skills and competencies for their role.,PER,18,Security Clearances,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
142,The gaining sponsoring entity establishes new clearance conditions before assuming sponsorship of an existing security clearance that is subject to clearance conditions.,PER,18,Security Clearances,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
143,The gaining sponsoring entity undertakes the exceptional business requirement and risk assessment provisions prior to requesting transfer of sponsorship of an existing security clearance that is subject to an eligibility waiver.,PER,18,Security Clearances,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
144,The Authorised Vetting Agency only issues a security clearance where the clearance is sponsored by an Australian Government entity or otherwise authorised by the Australian Government.,PER,18,Security Clearances,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
145,Positions that require a security clearance are identified and the level of clearance required is documented.,PER,18,Security Clearances,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
146,Each person working in an identified position has a valid security clearance issued by the relevant Authorised Vetting Agency.,PER,18,Security Clearances,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
147,Australian citizenship is confirmed and pre-employment screening is completed before the entity seeks a security clearance for a person in a position identified as requiring a security clearance.,PER,18,Security Clearances,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
153,"The clearance subject’s informed consent is given to collect, use and disclose their personal information for the purposes of assessing and managing their eligibility and suitability to hold a security clearance.",PER,19,Personnel Security Vetting Process,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
155,The clearance subject’s eligibility and suitability to hold a TOP SECRET-Privileged Access security clearance is assessed in accordance with the TOP SECRET-Privileged Access Standard.,PER,19,Personnel Security Vetting Process,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
157,"The clearance subject’s eligibility and suitability to hold a Baseline, Negative Vetting 1, Negative Vetting 2 or Positive Vetting security clearance is assessed by resolving any doubt in the national interest.",PER,19,Personnel Security Vetting Process,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
159,"The Authorised Vetting Agency provides the sponsoring entity any relevant information of concern, when advising them of the outcome of the security vetting process, to inform the sponsoring entity’s risk assessment.",PER,19,Personnel Security Vetting Process,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
161,The Authorised Vetting Agency reviews the conditions of conditional security clearances annually.,PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
162,"The Authorised Vetting Agency reviews the clearance holder’s eligibility and suitability to hold a security clearance, where concerns are identified (review for cause).",PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
163,The Authorised TOP SECRET-Privileged Access Vetting Agency implements the TOP SECRET-Privileged Access Standard in relation to the ongoing assessment and management of personnel with TOP SECRET-Privileged Access security clearances.,PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
164,"The Sponsoring Entity actively assesses, monitors and manages the ongoing suitability of personnel.",PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
165,The Sponsoring Entity monitors and manages compliance with any conditional security clearance requirements and reports any non- compliance to the Authorised Vetting Agency.,PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
166,The Sponsoring Entity monitors and manages compliance with security clearance maintenance obligations for the clearance holders they sponsor.,PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
167,"The Sponsoring Entity shares relevant information of concern, where appropriate.",PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
168,The Sponsoring Entity conducts an annual security check with all security cleared personnel.,PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
169,"The Sponsoring Entity reviews eligibility waivers at least annually, before revalidation of a security clearance, and prior to any proposed position transfer.",PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
170,"The Sponsoring Entity monitors, assesses and manages personnel with TOP SECRET-Privileged access security clearances in accordance with the TOP SECRET-Privileged Access Standard.",PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
171,The Authorised Vetting Agency reassesses a clearance holder’s eligibility and suitability to hold a security clearance by revalidating minimum personnel security checks for a security clearance.,PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
