control_id,title,statement,applicability,group_path
"ism-principle-pro-05","Secure administration","Systems (infrastructure, operating systems, applications and data) are administered in a secure, accountable and auditable manner.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-04","Secure configuration management","Systems (infrastructure, operating systems and applications) are securely configured to approved and maintained baselines, including by reducing attack surfaces and attack paths, with configurations continually monitored and consistently enforced.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-06","Vulnerability management","Vulnerabilities in systems (infrastructure, operating systems, applications and data) are identified, documented, validated and prioritised for remediation or mitigation in a timely manner, with all remediation and mitigation actions verified for effectiveness.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-07","Trustworthy software","Systems (operating systems and applications) only permit the execution of software that is supported, verified and authorised.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-08","Data protection","Data is encrypted and authenticated at rest and in transit using ASD-approved algorithms and protocols to protect its confidentiality and integrity.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-17","Cryptographic agility","Systems (infrastructure, operating systems and applications) are designed, configured and managed to support timely, prioritised and orderly changes to cryptography, including post-quantum cryptography.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-10","Regular and proven backups","Systems (infrastructure, operating systems, applications and data) are backed up in a secure and proven manner on a regular basis, including through the validation of restoration capabilities.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-18","Network segmentation and segregation","Systems (infrastructure, operating systems and applications) are segmented into network zones based on business criticality and trust levels, with only authorised, controlled and monitored inbound and outbound communication paths between network zones permitted.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-19","Operational technology isolation","Operational technology systems (infrastructure) are logically and physically isolated from information technology systems (infrastructure) and all external infrastructure, with only authorised, controlled and monitored communication paths between systems permitted.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-20","Remote access to operational technology","Access to operational technology systems (infrastructure, operating systems, applications and data) over untrusted infrastructure is authorised, controlled and monitored.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-09","Content filtering","Data communicated between different security domains for systems (infrastructure and applications) is controlled and subject to inspection and verification.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-14","Cyber security awareness training","Personnel are provided with ongoing cyber security awareness training, including operational security considerations, tailored to their duties, access levels and current cyber threats.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-15","Physical access control","Physical access to facilities and systems (infrastructure and data) is restricted to authorised personnel and monitored for unusual activities.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-det-01","Centralised event logging","Security-relevant event logs and configuration changes for systems (infrastructure, operating systems, applications and data) are centrally collected, protected against unauthorised modification or deletion, and retained to support effective cyber security event detection and investigation.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Detect cyber security principles"
"ism-principle-det-04","Baselined high-risk access activities","Baseline patterns of identity and credential access activities, privileged access activities, and remote access activities are established and maintained for systems (infrastructure, operating systems, applications and data) to enable the detection of anomalous or unexpected behaviour.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Detect cyber security principles"
"ism-principle-det-02","Cyber security event detection","Anomalous or unexpected events and behaviours for systems (infrastructure, operating systems, applications and data) are analysed in a timely manner to detect cyber security events.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Detect cyber security principles"
"ism-principle-det-03","Cyber security incident identification","Cyber security events are analysed in a timely manner to identify cyber security incidents.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Detect cyber security principles"
"ism-principle-det-05","Detection capability efficacy","Cyber security event detection capabilities are regularly evaluated for effectiveness and continuously refined, including by using current strategic and sector-specific cyber threat intelligence, to improve the detection of cyber security events.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Detect cyber security principles"
"ism-principle-res-01","Cyber security incident planning","Cyber security incident response, business continuity and disaster recovery plans for systems (infrastructure, operating systems, applications and data) support continued business operations during cyber security incidents, and the resumption of normal business operations following cyber security incidents.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Respond cyber security principles"
"ism-principle-res-05","Cyber security incident coordination","Cyber security incident roles and responsibilities are defined, documented and exercised to support the internal and external coordination and management of cyber security incidents, including responsibilities for declaring cyber security incidents and undertaking pre-approved response and recovery activities.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Respond cyber security principles"
"ism-principle-res-03","Cyber security incident response","Cyber security incidents are contained, eradicated and recovered from in a timely manner.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Respond cyber security principles"
"ism-principle-res-02","Cyber security incident reporting","Cyber security incidents, including associated response and recovery activities, are reported internally and externally to relevant bodies and stakeholders in a timely manner.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Respond cyber security principles"
"ism-principle-res-04","Cyber security incident insights","Lessons learnt from cyber security incidents are captured, and areas for improvement are identified, prioritised and actioned in a timely manner.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Respond cyber security principles"
"ism-principle-rec-02","System recovery assurance","Following cyber security incidents, systems (infrastructure, operating systems, applications and data) are verified through assurance activities to ensure they are secure and capable of supporting the resumption of normal business operations.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Recover cyber security principles"
"ism-principle-rec-01","Business operations resumption","Residual security risks for systems (infrastructure, operating systems, applications and data), including inherited and shared security risks, are accepted prior to the resumption of normal business operations following cyber security incidents.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Recover cyber security principles"
"ism-1997","Control: ism-1997","The board of directors or executive committee defines clear roles and responsibilities for cyber security both within the board of directors or executive committee and broadly within their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Embedding cyber security"
"ism-1998","Control: ism-1998","The board of directors or executive committee ensures that cyber security is integrated throughout all business functions within their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Embedding cyber security"
"ism-1999","Control: ism-1999","The board of directors or executive committee ensures the cyber security strategy for their organisation is aligned with the overarching strategic direction and business strategy for their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Embedding cyber security"
"ism-2000","Control: ism-2000","The board of directors or executive committee seeks regular briefings or reporting on the cyber security posture of their organisation, as well as the threat environment in which they operate, from internal and external subject matter experts.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Embedding cyber security"
"ism-2001","Control: ism-2001","The board of directors or executive committee champions a positive cyber security culture within their organisation, including through leading by example.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Championing a positive cyber security culture"
"ism-2002","Control: ism-2002","The board of directors or executive committee maintains a sufficient level of cyber security literacy to fulfil both their fiduciary duties and any legislative or regulatory obligations.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Building cyber security expertise"
"ism-2003","Control: ism-2003","The board of directors or executive committee maintains awareness of key cyber security recruitment activities, retention rates for cyber security personnel, and cyber security skills and experience gaps within their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Building cyber security expertise"
"ism-2004","Control: ism-2004","The board of directors or executive committee supports the development of cyber security skills and experience for all personnel via internal and external cyber security awareness raising and training opportunities.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Building cyber security expertise"
"ism-2005","Control: ism-2005","The board of directors or executive committee understands the business criticality of their organisation’s systems, including at least a basic understanding of what exists, their value, where they reside, who has access, who might seek access, how they are protected, and how that protection is verified.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Identifying critical business assets"
"ism-2006","Control: ism-2006","The board of directors or executive committee plans for major cyber security incidents, including by participating in exercises, and understand their duties in relation to such cyber security incidents.","NC,OS,P,S,TS","Guidelines for cyber security roles > Board of directors and executive committee > Planning for major cyber security incidents"
"ism-0714","Control: ism-0714","A CISO is appointed to provide cyber security leadership and guidance for their organisation (covering information technology and operational technology).","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Providing cyber security leadership and guidance"
"ism-1478","Control: ism-1478","The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing the cyber security program"
"ism-1617","Control: ism-1617","The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing the cyber security program"
"ism-1966","Control: ism-1966","The CISO develops, implements, maintains and verifies on a regular basis a register of systems used by their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing the cyber security program"
"ism-0724","Control: ism-0724","The CISO implements cyber security measurement metrics and key performance indicators for their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing the cyber security program"
"ism-0725","Control: ism-0725","The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Coordinating cyber security"
"ism-0726","Control: ism-0726","The CISO coordinates security risk management activities between cyber security and business teams.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Coordinating cyber security"
"ism-0718","Control: ism-0718","The CISO regularly reports directly to their organisation’s board of directors or executive committee on cyber security matters.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Reporting on cyber security"
"ism-1918","Control: ism-1918","The CISO regularly reports directly to their organisation’s audit, risk and compliance committee (or equivalent) on cyber security matters.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Reporting on cyber security"
"ism-0733","Control: ism-0733","The CISO is fully aware of all cyber security incidents within their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing cyber security incident response activities"
"ism-1618","Control: ism-1618","The CISO oversees their organisation’s response to cyber security incidents.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing cyber security incident response activities"
"ism-0734","Control: ism-0734","The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Contributing to business continuity and disaster recovery planning"
"ism-0720","Control: ism-0720","The CISO oversees the development, implementation and maintenance of a cyber security communications strategy to assist in communicating the cyber security vision and strategy for their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Communicating a cyber security vision and strategy"
"ism-0731","Control: ism-0731","The CISO oversees cyber supply chain risk management activities for their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Working with suppliers"
"ism-0732","Control: ism-0732","The CISO receives and manages a dedicated cyber security budget for their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Receiving and managing a dedicated cyber security budget"
"ism-0717","Control: ism-0717","The CISO oversees the management of cyber security personnel within their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing cyber security personnel"
"ism-2020","Control: ism-2020","The CISO ensures sufficient cyber security personnel, with the right skills and experience, are acquired to support cyber security activities within their organisation.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing cyber security personnel"
"ism-0735","Control: ism-0735","The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program.","NC,OS,P,S,TS","Guidelines for cyber security roles > Chief information security officer > Overseeing cyber security awareness training"
"ism-1071","Control: ism-1071","Each system has a designated system owner.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > System ownership and oversight"
"ism-1525","Control: ism-1525","System owners register each system with its authorising officer.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > System ownership and oversight"
"ism-1633","Control: ism-1633","System owners, in consultation with each system’s authorising officer, determine the system boundary, business criticality, and security and resilience objectives for each system based on an assessment of the impact if it were to be compromised or attacked.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1203","Control: ism-1203","System owners, in consultation with each system’s authorising officer, conduct a threat and risk assessment for each system.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1634","Control: ism-1634","System owners, in consultation with each system’s authorising officer, select controls for each system and tailor them to achieve desired security and resilience objectives.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-0009","Control: ism-0009","System owners, in consultation with each system’s authorising officer, identify any supplementary controls required based upon the unique nature of each system, its operating environment and the organisation’s risk tolerances.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1635","Control: ism-1635","System owners implement controls for each system and its operating environment.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1636","Control: ism-1636","System owners, in consultation with each system’s authorising officer, ensure controls for each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system and its operating environment undergo a security assessment by their organisation’s own assessors or Infosec Registered Assessor Program (IRAP) assessors to determine if they have been implemented correctly and are operating as intended.","NC,OS,P,S","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1967","Control: ism-1967","System owners, in consultation with each system’s authorising officer, ensure controls for each TOP SECRET system and its operating environment, including each sensitive compartmented information system and its operating environment, undergo a security assessment by ASD assessors (or their delegates) to determine if they have been implemented correctly and are operating as intended.","TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-0027","Control: ism-0027","System owners obtain an authorisation to operate for each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system from its authorising officer.","NC,OS,P,S","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1968","Control: ism-1968","System owners obtain an authorisation to operate for each TOP SECRET system, including for each sensitive compartmented information system, from Director-General ASD (or their delegate).","TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1526","Control: ism-1526","System owners continuously monitor the security of each system, and manage associated cyber threats, security risks and controls.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-2021","Control: ism-2021","System owners implement and maintain data minimisation practices for each of their systems.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Protecting systems and their resources"
"ism-1587","Control: ism-1587","System owners report the security status of each system to its authorising officer at least annually.","NC,OS,P,S,TS","Guidelines for cyber security roles > System owners > Annual reporting of system security status"
"ism-0576","Control: ism-0576","A cyber security incident management policy, and associated cyber security incident response plan, is developed, implemented and maintained.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Cyber security incident management policy"
"ism-1784","Control: ism-1784","The cyber security incident management policy, including the associated cyber security incident response plan, is exercised at least annually.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Cyber security incident management policy"
"ism-0125","Control: ism-0125","A cyber security incident register is developed, implemented and maintained.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Cyber security incident register"
"ism-1803","Control: ism-1803","A cyber security incident register contains the following for each cyber security incident:

- the date the cyber security incident occurred
- the date the cyber security incident was discovered
- a description of the cyber security incident
- any actions taken in response to the cyber security incident
- to whom the cyber security incident was reported.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Cyber security incident register"
"ism-1625","Control: ism-1625","An insider threat mitigation program is developed, implemented and maintained.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Insider threat mitigation program"
"ism-1626","Control: ism-1626","Legal advice is sought regarding the development and implementation of an insider threat mitigation program.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Insider threat mitigation program"
"ism-0120","Control: ism-0120","Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Access to sufficient data sources and tools"
"ism-0123","Control: ism-0123","Cyber security incidents are reported to the chief information security officer, or one of their delegates, as soon as possible after they occur or are discovered.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Reporting cyber security incidents"
"ism-0140","Control: ism-0140","Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Reporting cyber security incidents to ASD"
"ism-1880","Control: ism-1880","Cyber security incidents that involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Reporting cyber security incidents to customers and the public"
"ism-1881","Control: ism-1881","Cyber security incidents that do not involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Managing cyber security incidents > Reporting cyber security incidents to customers and the public"
"ism-1819","Control: ism-1819","Following the identification of a cyber security incident, the cyber security incident response plan is enacted.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Enacting cyber security incident response plans"
"ism-0133","Control: ism-0133","When a data spill occurs, data owners are advised and access to the data is restricted.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing data spills"
"ism-0917","Control: ism-0917","When malicious code is detected, the following steps are taken to handle the infection:

- the infected systems are isolated
- all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
- antivirus applications are used to remove the infection from infected systems and media
- if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing malicious code infections"
"ism-1969","Control: ism-1969","Malicious code, when stored or communicated, is treated beforehand to prevent accidental execution.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing malicious code infections"
"ism-1970","Control: ism-1970","Malicious code processed for cyber security incident response or research purposes is done so in a dedicated analysis environment that is segregated from other systems.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing malicious code infections"
"ism-0137","Control: ism-0137","Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing intrusions"
"ism-1609","Control: ism-1609","System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing intrusions"
"ism-1731","Control: ism-1731","Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing intrusions"
"ism-1732","Control: ism-1732","To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing intrusions"
"ism-1213","Control: ism-1213","Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether malicious actors have been successfully removed from the system.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Handling and containing intrusions"
"ism-0138","Control: ism-0138","The integrity of evidence gathered during an investigation is maintained by investigators:

- recording all of their actions
- maintaining a proper chain of custody
- following all instructions provided by relevant law enforcement agencies.","NC,OS,P,S,TS","Guidelines for cyber security incidents > Responding to cyber security incidents > Maintaining the integrity of evidence"
"ism-1631","Control: ism-1631","Suppliers of operating systems, applications, IT equipment, OT equipment and services associated with systems are identified.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1452","Control: ism-1452","A supply chain risk assessment is performed for suppliers of operating systems, applications, IT equipment, OT equipment and services in order to assess the impact to a system’s security risk profile.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1567","Control: ism-1567","Suppliers identified as high risk by a cyber supply chain risk assessment are not used.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1568","Control: ism-1568","Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have demonstrated a commitment to the security of their products and services.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1882","Control: ism-1882","Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have demonstrated a commitment to transparency for their products and services.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1632","Control: ism-1632","Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have a strong track record of maintaining the security of their own systems.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1569","Control: ism-1569","A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Cyber supply chain risk management activities"
"ism-1785","Control: ism-1785","A supplier relationship management policy is developed, implemented and maintained.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Supplier relationship management"
"ism-1786","Control: ism-1786","An approved supplier list is developed, implemented and maintained.","NC,OS,P,S,TS","Guidelines for procurement and outsourcing > Cyber supply chain risk management > Supplier relationship management"
